DESCRIPTION_RTP
"12- Balise"
"18- Viaduc"
"1- Tige et base"
"10- Fût et feux"
"8- Pilier"
"7- Console"
"13- Poteau en acier"
"4- Poteau en bois"
"11- Pot. bois/feux"
"20- Fût et potence"
"2- Tige et manchon"
"5- Cable aérien"
"16- Tige et base double"
"19- Délinéateur"
"21- Tige de borne fontaine"
"3- Fût"
"9- Autres"
"6- Base amovible"
"15- Manchon"
"14- Poteau en barre métallique"
"17- Tige et manchon double"
