PANNEAU_ID_RPA,DESCRIPTION_RPA,CODE_RPA
127,"AUTOCOLLANT SIGN. PARC","CX-S"
131,"""CHAMBRE DE VANNE"" LOGO NOIR SUR FOND JAUNE","D-AA"
132,"FLECHE A GAUCHE OU A DROITE POUR PANNEAU JAUNE ET NOIR","D-AB"
133,"FLECHE TOUT DROIT POUR PANNEAU JAUNE ET NOIR","D-ACS"
134,"""BOMBARDIER INTERDIT"" (LARG. INSUFFISANTE OU FIN TROT.)","D-AD"
135,"PANONCEAU ""ACCES INTERDIT""","D-AE"
136,"BORNE-FONTAINE - LOGO NOIR SUR FOND JAUNE","D-BF"
137,"AUTOCOLLANT - CE COTE - (POUR PANNEAU DE STATIONNEMENT)","D-CC"
139,"PROPRIETE DE LA VILLE","D-LV"
140,"PARCOMETRE","D-PH"
142,"TOUR EN FIACRE -  TARIF  60 $/HEURE - 35 $ 1/2 heure","D-TF"
143,"TAXIS TETE DE STATION","D-TP"
148,"AUTOCOL. PIETON (UTILISER AVEC DX-A OU DX-B)","DX-E"
149,"ANNULE \P 09h30-10h30 MAR.VEN. 1 MARS AU 1 DEC. ENTRETI","EB-AH"
150,"ANNULE \P 09h-12h LUN. ET JEU. 1 MARS AU 1 DEC. ENTRETI","EB-AJ"
156,"ANNULE \P 07h-09h LUN. JEU. 1 MARS AU 1 DEC. ENTRETIEN","EB-AX"
157,"ANNULE \P 07h-09h MAR. VEN. 1 MARS AU 1 DEC. ENTRETIEN","EB-AY"
159,"ANNULE \P 13h-16h LUN. ET JEU. 1 MARS AU 1 DEC. ENTRETI","EB-PG"
165,"ANNULE \P 19h-24h LUN. JEU. 1 MARS AU 1 DEC. ENTRETIEN","EB-SB"
201,"\P 07h-19h CLIGNOTANT 22h-07h FIXE","EU-TA"
204,"\P 10h-22h CLIGNOTANT 22h-10h FIXE","EU-TG"
208,"\P 07h-19h CLIGNOTANT 19h-07h FIXE","EU-TO"
215,"ANNULE \P 09h-12h LUN. 1 MARS AU 1 DEC. ENTRETIEN","EU-VA"
