PANNEAU_ID_RPA,DESCRIPTION_RPA,CODE_RPA
2119,"VOIE RESERVEE (AERIEN)  MACLE SUR FOND NOIR","RS-BA"
2130,"AV. BERTHE LOUARD - AV. JOSEPH MELANCON","RU-E-1"
2131,"AV. B. LOUARD, J. MELANCON, PL. DE LA COLOMBIERE, LEGEN","RU-E-2"
2133,"ALBERT-MALOUIN, MADORE ET ALFRED-DURANLEAU     *=FLECHE","RU-EA-*"
2134,"\P RESERVE HANDICAPES 09h30-17h LUN. AU VEN.","RV-JA"
2135,"\P RESERVE HANDICAPES 07h-09h ET 15h-17h LUN. AU VEN.","RV-JB"
2136,"\P RESERVE HANDICAPES 08h-20h, LUN. AU VEN.","RV-JC"
2137,"\P RESERVE HANDICAPES 09h30-20h, LUN. A VEN.","RV-JD"
2140,"POIDS LIMITE","RZ-C"
2141,"POIDS LIMITE","RZ-C-10"
2142,"\P 07h-09h LUNDI JEUDI 1 MARS AU 1 DEC.","SB-AA"
2143,"\P 06h30-07h30 MAR. VEN. 1 MARS AU 1 DEC.","SB-AB"
2144,"\P 09h-12h MAR. VEN.","SB-AC"
2146,"\P 06h30-07h30 LUN. JEU. 1 MARS AU 1 DEC.","SB-AE"
2147,"\P 09h-12h LUN. JEU. 1 MARS AU 1 DEC.","SB-AF"
2149,"\P 08h-11h MAR. VEN. 1MARS AU 1 DEC.","SB-AH"
2150,"\P 07h-09h MAR. ET VEN. 1er MARS AU 1er DEC.","SB-AI"
2151,"\P 09h-12h LUNDI VENDREDI","SB-AJ"
2154,"\P 09h-10h LUNDI, JEUDI","SB-AM"
2155,"\P 10h-11h LUNDI, JEUDI","SB-AN"
2157,"\P 09h30-10h30 LUNDI, JEUDI","SB-AP"
2160,"\P 07h-09h MAR. JEU. 1 MARS AU 1 DEC.","SB-AS"
2161,"\P 13h-15h30 MARDI, VENDREDI","SB-DB"
2163,"\P 19h30-20h30 LUN. JEU. 1 MARS AU 1 DEC.","SB-FA"
2164,"\P 08h-09h LUN. JEU. 1 MARS AU 1 DEC.","SB-JA"
2165,"\P 08h30-09h30 LUN. JEU. 1 MARS AU 1 DEC.","SB-JB"
2166,"\P 09h-10h LUN. JEU. 1 MARS AU 1 DEC.","SB-JC"
2167,"\P 09h30-10h30 LUN. JEU. 1 MARS AU 1 DEC.","SB-JD"
2168,"\P 10h-11h LUN. JEU. 1 MARS AU 1 DEC.","SB-JE"
2169,"\P 10h30-11h30 LUN. JEU. 1 MARS AU 1 DEC.","SB-JF"
2170,"\P 11h-12h LUN. JEU. 1 MARS AU 1 DEC.","SB-JG"
2171,"\P 11h30-12h30 LUN. JEU. 1 MARS AU 1 DEC.","SB-JH"
2172,"\P 09h30-17h MAR. VEN.","SB-JI"
2173,"\P 12h-13h LUN. JEU. 1 MARS AU 1 DEC.","SB-JJ"
2174,"\P 12h30-13h30 LUN. JEU. 1 MARS AU 1 DEC.","SB-JK"
2175,"\P 09h-17h MAR. VEN.","SB-JL"
2176,"\P 13h30-14h30 LUN. JEU. 1 MARS AU 1 DEC.","SB-JM"
2177,"\P 09h-18h MAR. JEU.","SB-JN"
2178,"\P 14h30-15h30 LUN. JEU. 1 MARS AU 1 DEC.","SB-JO"
2181,"\P 16h-17h LUN. JEU. 1 MARS AU 1 DEC.","SB-JR"
2182,"\P 13h-14h LUN. JEU. 1 MARS AU 1 DEC.","SB-JS"
2183,"\P 14h-15h LUN. JEU. 1 MARS AU 1 DEC.","SB-JT"
2184,"\P 17h30-18h30 LUN. JEU. 1 MARS AU 1 DEC.","SB-JU"
2185,"\P 09h-17h MAR. JEU.","SB-JV"
2186,"\P 17h-18h LUN. JEU. 1 MARS AU 1 DEC.","SB-JW"
2187,"\P 08h-09h LUN. VEN. 1 MARS AU 1 DEC.","SB-JX"
2188,"\P 16h30-17h30 MAR. VEN. 1 MARS AU 1 DEC.","SB-JY"
2189,"\P 08h-16h MAR. JEU.","SB-JZ"
2190,"\P 08h-09h LUN. MER. 1 MARS AU 1 DEC.","SB-LA"
2193,"\P 09h30-10h30 LUN. MER. 1 MARS AU 1 DEC.","SB-LD"
2197,"\P 11h30-12h30 LUN. MER. 1 MARS AU 1 DEC.","SB-LH"
2198,"\P 19h-20h LUN. JEU. 1 MARS AU 1 DEC.","SB-LI"
2200,"\P 12h30-13h30 LUN. MER. 1 MARS AU 1 DEC.","SB-LK"
2201,"\P 07h-08h LUN. MER. 1 MARS AU 1 DEC.","SB-LL"
2210,"\P 07h30-08h30 LUN. MER. 1 MARS AU 1 DEC.","SB-LV"
2211,"\P 08h-09h MAR. JEU. 1 MARS AU 1 DEC.","SB-MA"
2219,"\P 06h30-07h30 MAR. JEU. 1 MARS AU 1 DEC","SB-MI"
2221,"\P 12h30-13h30 MAR. JEU. 1 MARS AU 1 DEC.","SB-MK"
2222,"\P 21h30-22h30 LUN. JEU. 1 MARS AU 1 DEC.","SB-ML"
2223,"\P 13h30-14h30 MAR. JEU. 1 MARS AU 1 DEC.","SB-MM"
2228,"\P 13h-14h MAR. JEU. 1 MARS AU 1 DEC.","SB-MS"
2229,"\P 14h-15h MAR. JEU. 1 MARS AU 1 DEC.","SB-MT"
2230,"\P 07h-08h LUN. JEU. 1 MARS AU 1 DEC.","SB-MU"
2231,"\P 07h30-08h30 LUN. JEU. 1 MARS AU 1 DEC.","SB-MV"
2232,"\P 17h30-18h30 MAR. JEU. 1 MARS AU 1 DEC.","SB-MW"
2233,"\P 08h-09h MER. VEN. 1 MARS AU 1 DEC.","SB-NA"
2234,"\P 08h30-09h30 MER. VEN. 1 MARS AU 1 DEC.","SB-NB"
2235,"\P 09h-10h MER. VEN. 1 MARS AU 1 DEC.","SB-NC"
2251,"\P 07h-08h MAR. JEU. 1 MARS AU 1 DEC.","SB-NW"
2253,"\P 08h00 A 16h00 MARDI et VENDREDI","SB-OB"
2255,"\P 09h-18h LUN. JEU. 1 MARS AU 1 DEC.","SB-OD"
2256,"\P 08h-17h MAR. VEN.","SB-OG"
2260,"\P 10h-16h MAR. JEU.","SB-OM"
2263,"\P 13h-16h MAR. VEN.","SB-PC"
2266,"\P 13h30-14h30 LUN. VEN. 1 MARS AU 1 DEC.","SB-PF"
2267,"\P 16h30-17h30 LUN. JEU. 1 MARS AU 1 DEC.","SB-PG"
2269,"\P 13h-16h LUNDI JEUDI","SB-PI"
2270,"\P 20h30-21h30 MAR. VEN. 1 MARS AU 1 DEC.","SB-PJ"
2271,"\P 19h30-20h30 MAR. VEN. 1 MARS AU 1 DEC.","SB-PK"
2272,"\P 20h30-21h30 LUN. JEU. 1 MARS AU 1 DEC.","SB-PL"
2273,"\P 10h30-11h30 LUN. JEU.","SB-PM"
2274,"\P 21h-22h MAR. MER. VEN. 1 MARS AU 1 DEC.","SB-PN"
2275,"\P 22h30-23h30 LUN. JEU. 1 MARS AU 1 DEC.","SB-PO"
2277,"\P 22h30-23h30 MAR. VEN. 1 MARS AU 1 DEC.","SB-PQ"
2278,"\P 16h30-17h30 LUN. MER. 1 MARS AU 1 DEC.","SB-PR"
2280,"\P 22h-24h MAR. ET VEN.  1 MARS AU 1 DEC.","SB-PT"
2287,"\P 09h-16h LUN. JEU.","SB-RC"
2288,"\P 18h-19h LUN. JEU. 1 MARS AU 1 DEC.","SB-SA"
2289,"\P 18h-19h MAR. VEN. 1 MARS AU 1 DEC.","SB-SB"
2290,"\P 20h-21h LUN. JEU. 1 MARS AU 1 DEC.","SB-SC"
2291,"\P 20h-21h MAR. VEN. 1 MARS AU 1 DEC.","SB-SD"
2292,"\P 21h-22h LUN. JEU. 1 MARS AU 1 DEC.","SB-SE"
2293,"\P 21h-22h MAR. VEN. 1 MARS AU 1 DEC.","SB-SF"
2294,"\P 22h-23h LUN. JEU. 1 MARS AU 1 DEC.","SB-SG"
2295,"\P 22h-23h MAR. VEN. 1 MARS AU 1 DEC.","SB-SH"
2297,"\P 23h-24h LUN. JEU. 1 MARS AU 1 DEC.","SB-SJ"
2298,"\P 23h-24h MAR. VEN. 1 MARS AU 1 DEC.","SB-SK"
2300,"\P 19h-20h MAR. VEN. 1 MARS AU 1 DEC.","SB-SM"
2302,"\P 18h30-19h30 LUN. MER. 1 MARS AU 1 DEC.","SB-SO"
2303,"\P 18h30-19h30 MAR. JEU. 1 MARS AU 1 DEC.","SB-SP"
2304,"\P 18h30-19h30 MAR. VEN. 1 MARSL AU 1 DEC.","SB-SQ"
2307,"\P 19h-24h MAR. VEN. 1 MARS AU 1 DEC.","SB-ST"
2311,"\P 19h-24h LUN. JEU. 1 MARS AU 1 DEC.","SB-SX"
2314,"\P 19h-22h LUNDI ET JEUDI","SB-UA"
2315,"\P 08h-09h MAR. VEN. 1 MARS AU 1 DEC.","SB-VA"
2316,"\P 08h30-09h30 MAR. VEN. 1 MARS AU 1 DEC.","SB-VB"
2317,"\P 09h-10h MAR. VEN. 1 MARS AU 1 DEC.","SB-VC"
2318,"\P 09h30-10h30 MAR. VEN. 1 MARS AU 1 DEC.","SB-VD"
2319,"\P 10h-11h MAR. VEN. 1 MARS AU 1 DEC.","SB-VE"
2320,"\P 10h30-11h30 MAR. VEN. 1 MARS AU 1 DEC.","SB-VF"
2321,"\P 11h-12h MAR. VEN. 1 MARS AU 1 DEC.","SB-VG"
2322,"\P 11h30-12h30 MAR. VEN. 1 MARS AU 1 DEC.","SB-VH"
2323,"\P 12h-13h MAR. VEN. 1 MARS AU 1 DEC.","SB-VJ"
2324,"\P 12h30-13h30 MAR. VEN. 1 MARS AU 1 DEC.","SB-VK"
2325,"\P 13h30-14h30 MAR. VEN. 1 MARS AU 1 DEC.","SB-VM"
2326,"\P 14h30-15h30 MAR. VEN. 1 MARS AU 1 DEC.","SB-VO"
2329,"\P 16h-17h MAR. VEN. 1 MARS AU 1 DEC.","SB-VR"
2330,"\P 13h-14h MAR. VEN. 1 MARS AU 1 DEC.","SB-VS"
2331,"\P 14h-15h MAR. VEN. 1 MARS AU 1 DEC.","SB-VT"
2333,"\P 07h30-08h30 MAR. VEN. 1 MARS AU 1 DEC.","SB-VV"
2334,"\P 17h-18h MAR. VEN. 1 MARS AU 1 DEC.","SB-VW"
2335,"\P 07h-08h MAR. VEN. 1 MARS AU 1 DEC.","SB-VX"
2336,"\P 09h-17h MAR. MER. VEN. SAM. DIM.","SC-JA"
2338,"\P 08h-18h MAR. MER. VEN. SAM. 1 MARS AU 1 DEC.","SC-JC"
2339,"\P 08h-16h MAR. MER. JEU. VEN.","SC-JD"
2342,"\P 06h-07h 1 MARS AU 1 DEC.","SD-AB"
2343,"\P 07h30-08h30 1 MARS AU 1 DEC.","SD-AC"
2344,"\P 07h-08h 1 MARS AU 1 DEC.","SD-AD"
2345,"\P 09h30-13h","SD-AF"
2346,"\P 06h30-07h30 1 MARS AU 1 DEC.","SD-AG"
2348,"\P AUX CAMIONS","SD-CM"
2349,"\P DANS LE CENTRE DU PARKING","SD-CP"
2350,"\P 07h-19h","SD-JA"
2351,"\P 08h-16h","SD-JB"
2352,"\P 08h-17h","SD-JC"
2353,"\P 08h-19h","SD-JD"
2354,"\P 09h-23h","SD-JE"
2355,"\P 09h-21h","SD-JF"
2356,"\P 18h-23h","SD-JG"
2357,"\P 09h-17h","SD-JH"
2358,"\P 07h-17h","SD-JI"
2359,"\P 09h-21h30","SD-JJ"
2360,"\P 08h-21h30","SD-JK"
2361,"\P 09h30-22h30","SD-JL"
2362,"\P 09h-20h","SD-JM"
2363,"\P 07h-24h","SD-JN"
2364,"\P 07h-22h","SD-JO"
2365,"\P 09h-22h30","SD-JP"
2366,"\P 10h-22h30","SD-JQ"
2367,"\P 09h-22h","SD-JR"
2368,"\P 08h-22h30","SD-JS"
2369,"\P 08h-24h","SD-JT"
2370,"\P 09h-19h","SD-JU"
2374,"\P 07h-16h","SD-JY"
2376,"\P 01h-07h","SD-NA"
2378,"\P 21h-07h","SD-NC"
2379,"\P 17h-08h","SD-ND"
2380,"\P 17h-09h","SD-NE"
2381,"\P 19h-07h","SD-NF"
2382,"\P 19h-08h","SD-NG"
2383,"\P 18h-09h","SD-NH"
2384,"\P 17h-07h","SD-NI"
2385,"\P 18h-07h","SD-NJ"
2386,"\P 23h-07h","SD-NK"
2387,"\P 24h-06h","SD-NL"
2390,"\P 00h-06h","SD-NP"
2392,"\P 09h-18h","SD-OA"
2393,"\P 09h30-18h","SD-OB"
2394,"\P 07h-18h","SD-OC"
2395,"\P 08h-18h","SD-OD"
2396,"\P MARS 01 A DEC. 01","SD-OE"
2397,"\P 16 NOV. AU 14 MARS","SD-OF"
2398,"\P 15 AVRIL AU 1 NOVEMBRE","SD-OG"
2399,"\P 07h-19h (TEMPORAIRE - PLANCHE)","SD-OJ"
2400,"\P 06h30-18h","SD-OM"
2401,"\P 07h30-18h","SD-ON"
2402,"\P 18h-24h LUN A VEN  +  08h-24h SAM ET DIM","SD-OP"
2404,"\P 13h-16h","SD-PB"
2405,"\P 15h-22h","SD-RC"
2407,"\P AUX REMORQUES","SD-RM"
2408,"\P 17h-24h","SD-SP"
2409,"\P 18h-24h","SD-SR"
2410,"\P 18h30 A 24h00","SD-SS"
2411,"\P DEUX COTES","SD-TC"
2413,"\P EN TOUT TEMPS","SD-TT"
2414,"\P EN TOUT TEMPS","SD-TU"
2415,"\P EN TOUT TEMPS (TEMPORAIRE - PANNEAU)","SD-TW"
2418,"\P 09h-17h LUN.","SD-ZB"
2420,"\P 09h-17h LUN. JEU.","SD-ZD"
2421,"\P 09h-17h MAR.","SD-ZE"
2424,"\P 07h30-15h JOURS D'ECOLE","SE-JA"
2425,"\P 08h-16h JOURS D'ECOLE","SE-JB"
2426,"\P 08h-17h LUN A VEN SEPT A JUIN","SE-JC"
2427,"\P 07h30-16h JOURS D'ECOLE","SE-JD"
2428,"\P 07h30-17h JOURS D'ECOLE","SE-JE"
2430,"\P 07h-16h JOURS D'ECOLE","SE-JG"
2431,"\P 08h30-15h JOURS D'ECOLE","SE-JH"
2433,"\P LIVRAISON SEULEMENT 07h-11h LUN A VEN","SL-AL"
2434,"\P LIVRAISON SEULEMENT 09h-13h LUN. AU SAM.","SL-AM"
2435,"\P LIVRAISON SEULEMENT 08h-12h LUN. AU VEN.","SL-AN"
2436,"\P LIVRAISON SEULEMENT 09h30-12h LUN. AU VEN.","SL-AQ"
2437,"\P LIVRAISON SEULEMENT 08h-11h LUN. AU VEN.","SL-AV"
2438,"\P LIVRAISON SEULEMENT 08h00-15h30 LUN. AU VEN.","SL-JA"
2439,"\P LIVRAISON SEULEMENT 08h-16h LUN. AU VEN.","SL-JB"
2440,"\P LIVRAISON SEULEMENT 08h-17h LUN. AU VEN.","SL-JC"
2441,"\P LIVRAISON SEULEMENT 08h-19h LUN. AU VEN.","SL-JD"
2442,"\P LIVRAISON SEULEMENT 07h30-13h30 30 JUIN AU 30 AOUT","SL-JE"
2443,"\P LIVRAISON SEULEMENT 09h30-15h30 LUN. AU VEN.","SL-JF"
2444,"\P LIVRAISON SEULEMENT 08h-18h LUN A SAM","SL-JG"
2445,"\P LIVRAISON SEULEMENT 09h-17h LUN. AU VEN.","SL-JH"
2446,"\P LIVRAISON SEULEMENT 07h-17h LUN. AU VEN.","SL-JI"
2447,"\P LIVRAISON SEULEMENT 07h-17h LUN. AU SAM.","SL-JJ"
2448,"\P LIVRAISON SEULEMENT 07h-18h LUN. AU VEN.","SL-JK"
2449,"\P LIVRAISON SEULEMENT 07h-18h LUN. AU SAM.","SL-JL"
2450,"\P LIVRAISON SEULEMENT 09h-17h LUN A SAM","SL-JM"
2451,"\P LIVRAISON SEULEMENT 09h30-16h LUN. AU VEN.","SL-JQ"
2452,"\P LIVRAISON SEULEMENT 09h30-18h LUN. AU VEN.","SL-JS"
2453,"\P LIVRAISON SEULEMENT 09h-15h30 LUN. AU VEN.","SL-JT"
2454,"\P LIVRAISON SEULEMENT 07h30-15h30 LUN A VEN","SL-JU"
2455,"\P LIVRAISON SEULEMENT 07h-19h","SL-JV"
2457,"\P LIVRAISON SEULEMENT 09h-18h LUN. AU VEN.","SL-OA"
2458,"\P LIVRAISON SEULEMENT 13h-16h LUN. AU VEN.","SL-PB"
2459,"\P LIVRAISON SEULEMENT 13h-17h LUN. AU VEN.","SL-PK"
2460,"\P LIVRAISON SEULEMENT 13h-18h LUN. AU SAM.","SL-PM"
2461,"\P LIVRAISON SEULEMENT EN TOUT TEMPS","SL-TT"
2464,"\P 9h30-11h LUN A SAM","SS-AA"
2465,"\P 07h-19h LUN. AU SAM.","SS-JA"
2466,"\P 08h-16h LUN. AU SAM.","SS-JB"
2467,"\P 08h-17h LUN. AU SAM.","SS-JC"
2468,"\P 08h-19h LUN. AU SAM.","SS-JD"
2469,"\P 07h30-18h LUN. AU SAM.","SS-JE"
2470,"\P 09h-16h LUN A SAM","SS-JF"
2472,"\P 07h30-19h LUN A SAM","SS-JH"
2474,"\P 08h30-15h LUN A VEN   ET   08h-17h SAMEDI","SS-JK"
2475,"\P 09h30-16h LUN. AU SAM.","SS-JQ"
2476,"\P 09h30-18h LUN. AU SAM.","SS-JS"
2477,"\P 07h-15h30 LUN A SAM","SS-JT"
2478,"\P 07h-18h LUN. AU SAM.","SS-OC"
2479,"\P 08h-18h LUN. AU SAM.","SS-OD"
2480,"\P 09h30-15h30 LUN. AU SAM.","SS-OG"
2482,"\P 06h-07h LUN. MER. VEN. 1 MARS AU 1 DEC.","ST-AA"
2493,"\P 09h30-10h30 LUN. MER. JEU. 1 MARS AU 1 DEC.","ST-AL"
2496,"\P 07h-09h LUN. MER. VEN. 1 MARS AU 1 DEC.","ST-AO"
2498,"\P 09h-12h MARDI MERCREDI VENDREDI","ST-AQ"
2507,"\P 13h-15h30 LUN. MER. JEU.","ST-DA"
2508,"\P 09h-17h MAR. MER. VEN.","ST-JA"
2509,"\P 09h30-17h LUN. MER. JEU.","ST-JB"
2510,"\P 08h-16h LUNDI MERCREDI JEUDI","ST-JC"
2512,"\P 09h-17h LUN. MER. JEU.","ST-JJ"
2513,"\P 09h-18h LUN. MER. VEN.","ST-JN"
2514,"\P 09h-17h LUN. MER. VEN.","ST-JU"
2517,"\P 0h-7h LUNDI MARDI MERCREDI","ST-NA"
2518,"\P 08h-17h JEUDI AU SAMEDI","ST-OA"
2525,"\P 13h-16h LUN. MER. JEU.","ST-PC"
2529,"\P 17h-18h LUN. MER. VEN. 1 MARS AU 1 DEC.","ST-PG"
2536,"\P 08h-09h JEU. 1 MARS AU 1 DEC.","SU-JA"
2537,"\P 08h30-09h30 JEU. 1 MARS AU 1 DEC.","SU-JB"
2538,"\P 09h-10h JEU. 1 MARS AU 1 DEC.","SU-JC"
2539,"\P 09h30-10h30 JEU. 1 MARS AU 1 DEC.","SU-JD"
2540,"\P 10h-11h JEU. 1 MARS AU 1 DEC.","SU-JE"
2541,"\P 10h30-11h30 JEU. 1 MARS AU 1 DEC.","SU-JF"
2542,"\P 11h-12h JEU. 1 MARS AU 1 DEC.","SU-JG"
2544,"\P 09h-19h SAM.","SU-JI"
2545,"\P 12h-13h JEU. 1 MARS AU 1 DEC.","SU-JJ"
2546,"\P 12h30-13h30 JEU. 1 MARS AU 1 DEC.","SU-JK"
2547,"\P 13h-14h JEU. 1 MARS AU 1 DEC.","SU-JL"
2548,"\P 13h30-14h30 JEU. 1 MARS AU 1 DEC.","SU-JM"
2549,"\P 14h-15h JEU. 1 MARS AU 1 DEC.","SU-JN"
2550,"\P 14h30-15h30 JEU. 1 MARS AU 1 DEC.","SU-JO"
2551,"\P 15h-16h JEU. 1 MARS AU 1 DEC.","SU-JP"
2554,"\P 07h-08h JEU. 1 MARS AU 1 DEC.","SU-JS"
2555,"\P 07h30-08h30 JEU. 1 MARS AU 1 DEC.","SU-JT"
2556,"\P 09h-17h JEU.","SU-JU"
2557,"\P 09h-17h MER.","SU-JV"
2561,"\P 08h-18h LUNDI","SU-JZ"
2562,"\P 08h-09h LUN. 1 MARS AU 1 DEC.","SU-LA"
2563,"\P 08h30-09h30 LUN. 1 MARS AU 1 DEC.","SU-LB"
2564,"\P 09h-10h LUN. 1 MARS AU 1 DEC.","SU-LC"
2565,"\P 09h30-10h30 LUN. 1 MARS AU 1 DEC.","SU-LD"
2566,"\P 10h-11h LUN. 1 MARS AU 1 DEC.","SU-LE"
2567,"\P 10h30-11h30 LUN. 1 MARS AU 1 DEC.","SU-LF"
2568,"\P 11h-12h LUN. 1 MARS AU 1 DEC.","SU-LG"
2570,"\P 12h-13h LUN. 1 MARS AU 1 DEC.","SU-LJ"
2571,"\P 12h30-13h30 LUN. 1 MARS AU 1 DEC.","SU-LK"
2572,"\P 13h-14h LUN. 1 MARS AU 1 DEC.","SU-LL"
2573,"\P 13h30-14h30 LUN. 1 MARS AU 1 DEC.","SU-LM"
2574,"\P 14h-15h LUN. 1 MARS AU 1 DEC.","SU-LN"
2575,"\P 14h30-15h30 LUN. 1 MARS AU 1 DEC.","SU-LO"
2576,"\P 15h-16h LUN. 1 MARS AU 1 DEC.","SU-LP"
2579,"\P 07h-08h LUN. 1 MARS AU 1 DEC.","SU-LS"
2580,"\P 07h30-08h30 LUN. 1 MARS AU 1 DEC.","SU-LT"
2581,"\P 09h-10h DIM. 1 MARS AU 1 DEC.","SU-LU"
2582,"\P 08h-09h MAR. 1 MARS AU 1 DEC.","SU-MA"
2583,"\P 08h30-09h30 MAR. 1 MARS AU 1 DEC.","SU-MB"
2584,"\P 09h-10h MAR. 1 MARS AU 1 DEC.","SU-MC"
2585,"\P 09h30-10h30 MAR. 1 MARS AU 1 DEC.","SU-MD"
2586,"\P 10h-11h MAR. 1 MARS AU 1 DEC.","SU-ME"
2587,"\P 10h30-11h30 MAR. 1 MARS AU 1 DEC.","SU-MF"
2588,"\P 11h-12h MAR. 1 MARS AU 1 DEC.","SU-MG"
2590,"\P 12h-13h MAR. 1 MARS AU 1 DEC.","SU-MJ"
2591,"\P 12h30-13h30 MAR. 1 MARS AU 1 DEC.","SU-MK"
2592,"\P 13h-14h MAR. 1 MARS AU 1 DEC.","SU-ML"
2593,"\P 13h30-14h30 MAR. 1 MARS AU 1 DEC.","SU-MM"
2594,"\P 14h-15h MAR. 1 MARS AU 1 DEC.","SU-MN"
2595,"\P 14h30-15h30 MAR. 1 MARS AU 1 DEC.","SU-MO"
2596,"\P 15h-16h MAR. 1 MARS AU 1 DEC.","SU-MP"
2600,"\P 07h30-08h30 MAR. 1 MARS AU 1 DEC.","SU-MT"
2601,"\P 08h-09h MER. 1 MARS AU 1 DEC.","SU-NA"
2602,"\P 08h30-09h30 MER. 1 MARS AU 1 DEC.","SU-NB"
2603,"\P 09h-10h MER. 1 MARS AU 1 DEC.","SU-NC"
2604,"\P 09h30-10h30 MER. 1 MARS AU 1 DEC.","SU-ND"
2605,"\P 10h-11h MER. 1 MARS AU 1 DEC.","SU-NE"
2606,"\P 10h30-11h30 MER. 1 MARS AU 1 DEC.","SU-NF"
2607,"\P 11h-12h MER. 1 MARS AU 1 DEC.","SU-NG"
2608,"\P 11h30-12h30 MER. 1 MARS AU 1 DEC.","SU-NH"
2609,"\P 12h-13h MER. 1 MARS AU 1 DEC.","SU-NJ"
2610,"\P 12h30-13h30 MER. 1 MARS AU 1 DEC.","SU-NK"
2611,"\P 13h-14h MER. 1 MARS AU 1 DEC.","SU-NL"
2612,"\P 13h30-14h30 MER. 1 MARS AU 1 DEC.","SU-NM"
2613,"\P 14h-15h MER. 1 MARS AU 1 DEC.","SU-NN"
2614,"\P 14h30-15h30 MER. 1 MARS AU 1 DEC.","SU-NO"
2615,"\P 15h-16h MER. 1 MARS AU 1 DEC.","SU-NP"
2616,"\P 15h30-16h30 MER. 1 MARS AU 1 DEC.","SU-NQ"
2618,"\P 07h-08h MER. 1 MARS AU 1 DEC.","SU-NS"
2619,"\P 07h30-08h30 MER. 1 MARS AU 1 DEC.","SU-NT"
2620,"\P 13h-14h DIMANCHE","SU-PA"
2622,"\P 19h-20h LUN. 1 MARS AU 1 DEC.","SU-SA"
2623,"\P 19h-20h MAR. 1 MARS AU 1 DEC.","SU-SB"
2625,"\P 19h-20h JEU. 1 MARS AU 1 DEC.","SU-SD"
2628,"\P 19h30-20h30 MAR.1 MARS AU 1 DEC.","SU-SG"
2629,"\P 19h30-20h30 MER. 1 MARS AU 1 DEC.","SU-SH"
2630,"\P 19h30-20h30 JEU. 1 MARS AU 1 DEC.","SU-SI"
2631,"\P 19h30-20h30 VEN. 1 MARS AU 1 DEC.","SU-SJ"
2632,"\P 20h-21h LUN. 1 MARS AU 1 DEC.","SU-SK"
2633,"\P 20h-21h MAR. 1 MARS AU 1 DEC.","SU-SL"
2634,"\P 20h-21h MER. 1 MARS AU 1 DEC.","SU-SM"
2636,"\P 20h-21h VEN. 1 MARS AU 1 DEC.","SU-SO"
2637,"\P 20h30 A 21h30 JEUDI 1ER MARS AU 1ER DEC.","SU-SP"
2638,"\P 20h30 A 21h30 MARDI 1ER MARS AU 1ER DEC.","SU-SQ"
2639,"\P 21h-22h JEUDI 1ER MARS AU 1ER DEC.","SU-SR"
2640,"\P 18h-19h LUNDI 1ER MARS AU 1ER DEC.","SU-SS"
2641,"\P 18h-19h MARDI 1ER MARS AU 1ER DEC.","SU-ST"
2642,"\P 21h-22h MARDI 1ER MARS AU 1ER DEC.","SU-SU"
2643,"\P 21h30-22h30 JEUDI  1 MARS AU 1 DEC.","SU-SV"
2644,"\P 21h30-22h30 MARDI  1 MARS AU 1 DEC.","SU-SW"
2645,"\P 17h-18h JEUDI  1 MARS AU 1 DEC.","SU-SX"
2646,"\P 18h30-19h30 JEUDI  1 MARS AU 1 DEC.","SU-SY"
2647,"\P 19h-24h JEUDI  1 MARS AU 1 DEC.","SU-SZ"
2649,"\P 17h-18h LUNDI  1 MARS AU 1 DEC.","SU-UB"
2650,"\P 18h30-19h30 LUNDI  1 MARS AU 1 DEC.","SU-UC"
2651,"\P 19h30-20h30 LUNDI  1 MARS AU 1 DEC.","SU-UD"
2652,"\P 21h30-22h30 LUNDI  1 MARS AU 1 DEC.","SU-UE"
2654,"\P 18h30-19h30 MERCREDI  1 MARS AU 1 DEC.","SU-UG"
2657,"\P 13h-16h LUNDI  1 MARS AU 1 DEC.","SU-UJ"
2658,"\P 13h-16h JEUDI  1 MARS AU 1 DEC.","SU-UK"
2659,"\P 09h-12h JEUDI  1 MARS AU 1 DEC.","SU-UL"
2660,"\P 09h-12h LUNDI  1 MARS AU 1 DEC.","SU-UM"
2661,"\P 09h-12h MARDI  1 MARS AU 1 DEC.","SU-UN"
2662,"\P 09h-12h VENDREDI  1 MARS AU 1 DEC.","SU-UO"
2663,"\P 08h-09h VEN. 1 MARS AU 1 DEC.","SU-VA"
2664,"\P 08h30-09h30 VEN. 1 MARS AU 1 DEC.","SU-VB"
2665,"\P 09h-10h VEN. 1 MARS AU 1 DEC.","SU-VC"
2666,"\P 09h30-10h30 VEN. 1 MARS AU 1 DEC.","SU-VD"
2667,"\P 10h-11h VEN. 1 MARS AU 1 DEC.","SU-VE"
2668,"\P 10h30-11h30 VEN. 1 MARS AU 1 DEC.","SU-VF"
2671,"\P 12h-13h VEN. 1 MARS AU 1 DEC.","SU-VJ"
2672,"\P 12h30-13h30 VEN. 1 MARS AU 1 DEC.","SU-VK"
2673,"\P 13h-14h VEN. 1 MARS AU 1 DEC.","SU-VL"
2674,"\P 13h30-14h30 VEN. 1 MARS AU 1 DEC.","SU-VM"
2675,"\P 14h-15h VEN. 1 MARS AU 1 DEC.","SU-VN"
2676,"\P 14h30-15h30 VEN. 1 MARS AU 1 DEC.","SU-VO"
2678,"\P 15h30-16h30 VEN. 1 MARS AU 1 DEC.","SU-VQ"
2682,"\P 06h-07h LUN. AU VEN. 1 MARS AU 1 DEC.","SV-AA"
