restriction_type,parking_spaces,times_of_operation,maximum_stay,tariff,cashless_identifier,nearest_machine,road_name,postcode,controlled_parking_zone,valid_parking_permits,parking_bay_length_metres,disclaimer,easting,northing,longitude,latitude,epsg_27700_well_known_text_geometry,epsg_4326_well_known_text_geometry,epsg_27700_geojson_geometry,epsg_4326_geojson_geometry,unique_identifier,spatial_accuracy,last_uploaded,location,organisation_uri
paid-for,1,mon-sat 08:30-18:30,2 hours,EV: £6.63 / 1: £7.96 (AQ surcharge: Petrol: £1.99 / Diesel: £3.98) / 2: £10.34 (AQ surcharge: Petrol: £2.59 / Diesel: £5.17),13909,N/A,Fitzroy Street,W1T 5BR,CA-E,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529127,182170,-0.140101,51.523692,"MULTILINESTRING ((529126.92 182173.22,529125.28 182172.13,529128.7 182167.11,529130.35 182168.18))","LINESTRING (-0.140105 51.523723,-0.14013 51.523713,-0.140082 51.523667,-0.140058 51.523677)","{""type"":""MultiLineString"",""coordinates"":[[[529126.92,182173.22],[529125.28,182172.13],[529128.7,182167.11],[529130.35,182168.18]]]}","{""type"":""LineString"",""coordinates"":[[-0.140105,51.523723],[-0.14013,51.523713],[-0.140082,51.523667],[-0.140058,51.523677]]}",46133904,Defined By Custodian,2026-09-12T23:00:35.000,"{""type"":""Point"",""coordinates"":[-0.140101,51.523692]}",http://opendatacommunities.org/id/london-borough-council/camden
disabled (blue badge),1,at any time,N/A,N/A,N/A,N/A,Lawn Road,NW3 2EN,CA-B,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",527547,185391,-0.161697,51.552997,"MULTILINESTRING ((527550.09 185393.02,527548.27 185393.94,527545.63 185387.91,527547.42 185387.08))","LINESTRING (-0.161656 51.553017,-0.161682 51.553026,-0.161722 51.529272,-0.161697 51.529264)","{""type"":""MultiLineString"",""coordinates"":[[[527550.09,185393.02],[527548.27,185393.94],[527545.63,185387.91],[527547.42,185387.08]]]}","{""type"":""LineString"",""coordinates"":[[-0.161656,51.553017],[-0.161682,51.553026],[-0.161722,51.529272],[-0.161697,51.529264]]}",46133023,Defined By Custodian,2026-09-12T23:00:35.000,"{""type"":""Point"",""coordinates"":[-0.161697,51.552992]}",http://opendatacommunities.org/id/london-borough-council/camden
