Contravention Date,Contravention In Last 7 Days,Ticket Type,Ticket Description,Contravention Code,Contravention Code Suffix,Contravention Code Description,Ticket Issued Via Cctv Camera,Controlled Parking Zone Area,Street,Vehicle Category,Vehicle Removed,Status Of Case,Charging Band Description,Civil Enforcement Officer Error,Penalty Charge Notice Cancelled,Penalty Charge Notice Written Off,Foreign Vehicle,Country Vehicle Registered To,Has Appeal,Formal Representation,Spatial Accuracy,Last Uploaded,Socrata Id
2026-05-15T15:22:00.000,No,MTC,Moving Traffic Contravention,52M,M,Failing to comply with a prohibition on certain types of vehicle (no motor vehicles),Yes,CA-P,MINSTER ROAD NW2,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,No,United Kingdom,No,No,Unknown,2026-09-13T02:30:05.000,9457
2026-08-25T17:42:00.000,No,MTC,Moving Traffic Contravention,52M,M,Failing to comply with a prohibition on certain types of vehicle (no motor vehicles),Yes,CA-F,MORNINGTON STREET NW1,Van,No,Outstanding,Band A (Higher),No,No,No,No,United Kingdom,No,Yes,Unknown,2026-09-13T02:30:09.000,35784
