ID_STA;ARRONDISSEMENT;BOROUGH;NBR_PLA;X;Y;JURIDICTION;EMPLACEMENT;LOCATION;HEURES;HOURS;NOTE_FR;NOTE_EN;TYPE_PAY
140;Saint-Laurent;Saint-Laurent;19;290299,17;5043119,58;Municipale;Parc Saint-Laurent 845, rue Poirier Montréal (Québec)  H4L 1G4;Parc Saint-Laurent 845 Rue Poirier Montréal Québec  H4L 1G4;18:00 à 08:00;6:00 pm to 8:00 am;;;0
22;Saint-Léonard;Saint-Léonard;9;298323,00;5049963,02;Municipale;Ruelle entre rue de la Salette et rue Louis-Vanier 6025, boulevard Métropolitain Est Montréal (Québec)  H1P 1X5;Alley between Rue de la Salette and Rue Louis-Vanier 6025 Boulevard Métropolitain Est Montréal Québec  H1P 1X5;18:00 à 07:00;6:00 pm to 7:00 am;;;0
41;Saint-Léonard;Saint-Léonard;32;298270,00;5049948,02;Municipale;Stationnement 7800, rue de la Salette Montréal (Québec)  H1P 1X7;Parking 7800 Rue de la Salette Montréal Québec  H1P 1X7;18:00 à 07:00;6:00 pm to 7:00 am;;;0
33;Saint-Léonard;Saint-Léonard;134;297347,00;5048196,02;Municipale;Aréna Roberto-Luongo Entrée par le boulevard Métropolitain Est et ensuite par la rue Colbert Montréal (Québec)  H1S 2Y7;Aréna Roberto-Luongo Entry by Boulevard Métropolitain Est and then by Rue Colbert Montréal Québec  H1S 2Y7;18:00 à 07:00;6:00 pm to 7:00 am;;;0
52;Saint-Léonard;Saint-Léonard;619;297150,00;5049466,02;Municipale;Mairie d'arrondissement de Saint-Léonard Entrée par la rue des Galets, 8400, boul. Lacordaire Montréal (Québec)  H1R 3Y6;Saint-Léonard borough hall Entry by Rue des Galets, 8400 boul. Lacordaire Montréal Québec  H1R 3Y6;18:00 à 07:00;6:00 pm to 7:00 am;;;0
40;Saint-Léonard;Saint-Léonard;45;297596,00;5049373,02;Municipale;Maison Joseph-Gagnon 5345, rue Jarry Est Montréal (Québec)  H1P 1T8;Maison Joseph-Gagnon 5345 Rue Jarry Est Montréal Québec  H1P 1T8;18:00 à 07:00;6:00 pm to 7:00 am;;;0
21;Saint-Léonard;Saint-Léonard;16;296223,69;5049286,04;Municipale;Parc Coubertin 4755, rue Valéry Montréal (Québec)  H1R 2W2;Parc Coubertin 4755 Rue Valéry Montréal Québec  H1R 2W2;18:00 à 07:00;6:00 pm to 7:00 am;;;0
34;Saint-Léonard;Saint-Léonard;16;297025,85;5050748,54;Municipale;Parc Ferland 6020, boul. Lavoisier Montréal (Québec)  H1P 2X9;Parc Ferland 6020 boul. Lavoisier Montréal Québec  H1P 2X9;18:00 à 07:00;6:00 pm to 7:00 am;;;0
50;Saint-Léonard;Saint-Léonard;47;299175,00;5049536,02;Municipale;Parc Giuseppe-Garibaldi 7125, rue Liénart Montréal (Québec)  H1S 2X9;Parc Giuseppe-Garibaldi 7125 Rue Liénart Montréal Québec  H1S 2X9;18:00 à 07:00;6:00 pm to 7:00 am;;;0
51;Saint-Léonard;Saint-Léonard;18;297620,00;5047993,02;Municipale;Parc Hébert 7505, boulevard Provencher Montréal (Québec)  H1S 2Y8;Parc Hébert 7505 Boulevard Provencher Montréal Québec  H1S 2Y8;18:00 à 07:00;6:00 pm to 7:00 am;;;0
19;Saint-Léonard;Saint-Léonard;50;298268,72;5049105,88;Municipale;Parc Ladauversière - entrée Lacordaire Entrée par 7560, boulevard Lacordaire Montréal (Québec)  H1S 9Y7;Parc Ladauversière - entry Lacordaire Entry by 7560 Boulevard Lacordaire Montréal Québec  H1S 9Y7;18:00 à 07:00;6:00 pm to 7:00 am;;;0
